iter	Passed	Remaining
0	417	208276
1	657	163827
2	894	148162
3	1139	141266
4	1364	135127
5	1605	132172
6	1835	129274
7	2062	126827
8	2289	124892
9	2515	123257
10	2740	121829
11	2958	120326
12	3183	119265
13	3419	118716
14	3636	117577
15	3854	116587
16	4069	115621
17	4283	114696
18	4505	114055
19	4742	113811
20	4989	113813
21	5218	113380
22	5458	113203
23	5684	112746
24	5935	112774
25	6173	112542
26	6423	112527
27	6690	112790
28	6994	113596
29	7217	113074
30	7469	113000
31	7691	112483
32	7911	111956
33	8149	111695
34	8408	111707
35	8671	111765
36	8913	111534
37	9149	111238
38	9406	111187
39	9646	110936
40	9903	110868
41	10159	110791
42	10410	110639
43	10647	110346
44	10912	110335
45	11161	110159
46	11445	110316
47	11670	109898
48	11892	109457
49	12130	109172
50	12389	109075
51	12640	108905
52	12894	108751
53	13128	108435
54	13389	108330
55	13626	108036
56	13871	107810
57	14109	107523
58	14353	107283
59	14643	107383
60	14886	107137
61	15151	107038
62	15402	106840
63	15652	106635
64	15887	106322
65	16152	106214
66	16411	106063
67	16643	105736
68	16899	105558
69	17133	105251
70	17377	105001
71	17637	104846
72	17874	104554
73	18122	104325
74	18361	104049
75	18605	103799
76	18838	103490
77	19085	103258
78	19325	102988
79	19558	102682
80	19805	102452
81	20059	102256
82	20294	101959
83	20528	101666
84	20769	101405
85	21004	101112
86	21248	100867
87	21495	100640
88	21732	100362
89	21969	100085
90	22212	99833
91	22458	99597
92	22704	99363
93	22928	99031
94	23173	98793
95	23429	98600
96	23697	98455
97	23934	98181
98	24189	97981
99	24449	97796
100	24714	97632
101	24963	97407
102	25218	97199
103	25443	96882
104	25669	96567
105	25897	96259
106	26128	95966
107	26393	95798
108	26645	95580
109	26889	95334
110	27136	95100
111	27391	94891
112	27636	94649
113	27886	94421
114	28179	94339
115	28443	94158
116	28704	93964
117	28958	93747
118	29210	93521
119	29456	93277
120	29734	93136
121	29982	92895
122	30252	92725
123	30516	92533
124	30783	92349
125	31012	92053
126	31263	91820
127	31498	91541
128	31750	91314
129	31982	91028
130	32207	90721
131	32413	90364
132	32636	90058
133	32854	89735
134	33075	89425
135	33293	89108
136	33503	88772
137	33729	88478
138	33951	88177
139	34161	87842
140	34373	87517
141	34591	87210
142	34813	86911
143	35034	86612
144	35248	86296
145	35470	86003
146	35721	85779
147	35949	85500
148	36202	85283
149	36457	85068
150	36689	84799
151	36924	84538
152	37180	84324
153	37455	84153
154	37722	83962
155	37969	83727
156	38226	83514
157	38508	83353
158	38782	83174
159	39053	82988
160	39301	82752
161	39544	82506
162	39789	82263
163	40025	82004
164	40268	81758
165	40499	81486
166	40725	81206
167	40957	80940
168	41233	80758
169	41472	80505
170	41727	80282
171	41951	79999
172	42167	79703
173	42388	79417
174	42623	79158
175	42856	78895
176	43079	78614
177	43297	78324
178	43503	78014
179	43718	77721
180	43949	77457
181	44171	77178
182	44386	76887
183	44605	76605
184	44812	76302
185	45023	76006
186	45223	75694
187	45429	75394
188	45665	75142
189	45914	74912
190	46150	74662
191	46385	74410
192	46608	74138
193	46831	73867
194	47055	73598
195	47266	73311
