iter	Passed	Remaining
0	481	240098
1	681	169653
2	894	148184
3	1120	138921
4	1387	137410
5	1644	135389
6	1898	133701
7	2147	132078
8	2374	129555
9	2599	127374
10	2817	125272
11	3089	125655
12	3318	124322
13	3557	123492
14	3791	122593
15	4025	121757
16	4268	121275
17	4508	120716
18	4736	119912
19	4989	119745
20	5123	116861
21	5387	117063
22	5626	116694
23	5873	116497
24	6124	116369
25	6386	116431
26	6625	116061
27	6845	115393
28	7106	115415
29	7378	115602
30	7640	115586
31	7920	115832
32	8223	116371
33	8475	116160
34	8732	116017
35	8976	115698
36	9227	115469
37	9486	115338
38	9718	114881
39	9972	114683
40	10226	114482
41	10464	114114
42	10707	113796
43	10942	113407
44	11178	113028
45	11419	112708
46	11665	112439
47	11905	112105
48	12167	111988
49	12436	111925
50	12684	111674
51	12933	111424
52	13169	111075
53	13413	110789
54	13655	110488
55	13907	110267
56	14151	109984
57	14389	109659
58	14631	109363
59	14881	109131
60	15104	108703
61	15365	108549
62	15601	108222
63	15837	107893
64	16076	107590
65	16310	107251
66	16542	106907
67	16784	106633
68	17033	106396
69	17284	106177
70	17509	105796
71	17754	105541
72	18002	105305
73	18268	105165
74	18510	104891
75	18739	104548
76	18986	104301
77	19223	104001
78	19452	103665
79	19696	103407
80	19948	103192
81	20194	102944
82	20431	102649
83	20686	102448
84	20925	102167
85	21167	101900
86	21409	101632
87	21658	101401
88	21677	100107
89	21927	99894
90	22156	99582
91	22398	99333
92	22632	99048
93	22883	98835
94	23108	98513
95	23352	98276
96	23608	98083
97	23857	97865
98	24103	97629
99	24343	97375
100	24576	97088
101	24864	97021
102	25093	96718
103	25332	96457
104	25576	96215
105	25822	95983
106	26094	95841
107	26348	95635
108	26596	95404
109	26854	95212
110	27094	94953
111	27327	94671
112	27590	94492
113	27838	94260
114	28095	94057
115	28337	93805
116	28608	93650
117	28860	93430
118	29117	93224
119	29395	93086
120	29640	92840
121	29934	92747
122	30180	92503
123	30420	92244
124	30641	91925
125	30883	91669
126	31135	91444
127	31371	91173
128	31610	90909
129	31843	90630
130	32104	90431
131	32376	90260
132	32601	89960
133	32869	89777
134	33125	89562
135	33375	89329
136	33626	89099
137	33901	88930
138	34148	88689
139	34422	88516
140	34689	88322
141	34955	88127
142	35222	87933
143	35468	87685
144	35723	87460
145	35964	87201
146	36209	86951
147	36455	86704
148	36715	86490
149	36959	86239
150	37247	86087
151	37479	85807
152	37722	85554
153	37980	85332
154	38225	85082
155	38489	84873
156	38740	84637
157	38997	84411
158	39272	84224
159	39513	83965
160	39784	83769
161	40033	83526
162	40270	83259
163	40511	82998
164	40759	82755
165	41007	82508
166	41275	82304
167	41521	82055
168	41769	81808
169	42010	81550
170	42255	81298
171	42480	81009
172	42746	80798
173	43003	80569
174	43260	80341
175	43488	80058
176	43746	79831
177	44009	79612
178	44287	79419
179	44568	79233
180	44823	78998
181	45104	78809
182	45354	78564
183	45603	78319
184	45833	78041
185	46077	77786
